IRN,School District,County,FY12 Expenditures,FY12 Ending Cash,FY12 Cash as percentages of Expenses,FY13 Expenditures,FY13 Ending Cash,FY13 Cash as percentages of Expenses,FY14 Expenditures,FY14 Ending Cash,FY14 Cash as percentages of Expenses,FY15 Expenditures,FY15 Ending Cash,FY15 Cash as percentages of Expenses,FY16 Expenditures,FY16 Ending Cash,FY16 Cash as percentages of Expenses,5-Year Average,Typology
044511,North College Hill City,Hamilton," $13,348,356 "," $227,698 ",1.71%," $12,035,229 "," $684,693 ",5.69%," $12,982,722 "," $730,238 ",5.62%,"$13,111,135","$1,645,675",12.6%,"$13,732,807","$3,336,715",24.3%,10.0%,7
044529,North Olmsted City,Cuyahoga," $51,075,512 "," $16,611,072 ",32.52%," $51,536,759 "," $21,711,158 ",42.13%," $54,052,118 "," $21,077,820 ",39.00%,"$54,583,112","$19,844,286",36.4%,"$56,151,036","$19,101,901",34.0%,36.8%,5
044537,North Ridgeville City,Lorain," $33,676,168 "," $1,006,450 ",2.99%," $32,467,925 "," $4,213,622 ",12.98%," $31,943,139 "," $10,227,239 ",32.02%,"$34,613,414","$14,881,434",43.0%,"$39,298,548","$17,206,400",43.8%,27.0%,5
044545,North Royalton City,Cuyahoga," $46,947,968 "," $11,105,317 ",23.65%," $46,840,662 "," $11,222,320 ",23.96%," $47,340,124 "," $11,065,687 ",23.37%,"$47,730,996","$11,763,442",24.6%,"$47,579,432","$13,510,257",28.4%,24.8%,5
044552,Norton City,Summit," $20,773,320 "," $4,092,390 ",19.70%," $21,263,052 "," $3,062,121 ",14.40%," $21,982,959 "," $2,169,578 ",9.87%,"$22,465,671","$2,142,404",9.5%,"$23,223,504","$1,833,999",7.9%,12.3%,3
044560,Norwalk City,Huron," $24,208,420 "," $8,205,927 ",33.90%," $24,044,095 "," $6,032,312 ",25.09%," $24,340,488 "," $4,414,154 ",18.14%,"$25,171,685","$4,462,835",17.7%,"$26,174,518","$5,344,738",20.4%,23.1%,4
044578,Norwood City,Hamilton," $24,463,375 "," $3,522,570 ",14.40%," $28,960,339 "," $1,948,178 ",6.73%," $24,014,082 "," $4,727,379 ",19.69%,"$26,031,569","$5,394,705",20.7%,"$26,780,837","$6,246,319",23.3%,17.0%,7
044586,Oakwood City,Montgomery," $25,650,969 "," $2,023,392 ",7.89%," $23,939,337 "," $1,889,610 ",7.89%," $24,917,810 "," $2,610,823 ",10.48%,"$25,656,949","$3,981,690",15.5%,"$25,348,965","$4,679,194",18.5%,12.0%,6
044594,Oberlin City Schools,Lorain," $12,142,510 "," $673,688 ",5.55%," $12,456,514 "," $1,232,252 ",9.89%," $13,243,321 "," $1,258,357 ",9.50%,"$12,911,110","$1,943,152",15.1%,"$13,085,306","$3,552,664",27.2%,13.4%,5
044602,Oregon City,Lucas," $39,976,003 "," $9,586,718 ",23.98%," $37,296,472 "," $9,434,510 ",25.30%," $39,125,394 "," $8,022,101 ",20.50%,"$40,124,485","$7,860,297",19.6%,"$40,146,100","$9,338,476",23.3%,22.5%,4
044610,Orrville City,Wayne," $14,728,733 "," $964,436 ",6.55%," $14,665,326 "," $1,332,470 ",9.09%," $14,207,616 "," $3,022,243 ",21.27%,"$15,357,958","$4,537,879",29.5%,"$15,374,256","$6,315,109",41.1%,21.5%,4
044628,Painesville City Local,Lake," $28,532,346 "," $2,248,188 ",7.88%," $29,050,569 "," $2,322,431 ",7.99%," $30,676,594 "," $2,404,705 ",7.84%,"$32,444,781","$3,193,238",9.8%,"$33,623,384","$4,271,978",12.7%,9.3%,7
044636,Parma City,Cuyahoga," $131,629,203 "," $14,337,077 ",10.89%," $135,220,920 "," $15,735,612 ",11.64%," $141,559,345 "," $12,411,093 ",8.77%,"$150,194,823","$6,021,234",4.0%,"$152,471,687","$1,324,061",0.9%,7.2%,7
044644,Piqua City,Miami," $28,266,122 "," $7,513,443 ",26.58%," $28,695,833 "," $7,955,771 ",27.72%," $30,153,504 "," $9,718,342 ",32.23%,"$32,174,948","$11,757,491",36.5%,"$32,174,948","$11,757,491",36.5%,31.9%,4
044651,Port Clinton City,Ottawa," $18,574,010 "," $11,212,004 ",60.36%," $18,549,026 "," $11,933,147 ",64.33%," $18,953,121 "," $13,008,970 ",68.64%,"$23,734,037","$9,558,013",40.3%,"$19,763,595","$9,991,727",50.6%,56.8%,4
044669,Portsmouth City,Scioto," $25,316,239 "," $1,862,497 ",7.36%," $25,445,271 "," $438,980 ",1.73%," $25,487,906 "," $426,604 ",1.67%,"$26,730,026","$837,836",3.1%,"$27,109,071","$1,081,805",4.0%,3.6%,4
044677,Princeton City,Hamilton," $72,154,111 "," $9,592,359 ",13.29%," $71,536,939 "," $7,395,121 ",10.34%," $67,611,188 "," $16,563,895 ",24.50%,"$70,915,181","$25,304,310",35.7%,"$70,211,525","$33,371,340",47.5%,26.3%,5
044685,Ravenna City,Portage," $28,001,065 "," $2,105,609 ",7.52%," $27,076,767 "," $1,049,351 ",3.88%," $27,452,482 "," $561,957 ",2.05%,"$28,368,572","$1,308,034",4.6%,"$27,955,741","$2,743,083",9.8%,5.6%,4
044693,Reading Community City,Hamilton," $14,353,818 "," $2,640,961 ",18.40%," $14,870,322 "," $2,678,048 ",18.01%," $15,274,249 "," $2,675,442 ",17.52%,"$15,193,235","$3,608,895",23.8%,"$15,910,469","$4,205,716",26.4%,20.8%,7
044701,Rocky River City,Cuyahoga," $31,740,829 "," $2,744,707 ",8.65%," $32,732,876 "," $3,495,857 ",10.68%," $34,123,179 "," $5,219,972 ",15.30%,"$34,426,674","$6,183,548",18.0%,"$35,544,994","$6,367,750",17.9%,14.1%,6
044719,St Bernard-Elmwood Place City,Hamilton," $13,881,157 "," $4,392,653 ",31.64%," $12,029,994 "," $5,834,911 ",48.50%," $12,498,071 "," $6,011,797 ",48.10%,"$12,164,329","$7,845,448",64.5%,"$12,426,009","$10,459,863",84.2%,55.4%,7
044727,St Marys City,Auglaize," $20,100,882 "," $3,437,310 ",17.10%," $19,852,052 "," $2,083,913 ",10.50%," $18,744,616 "," $2,741,955 ",14.63%,"$19,203,948","$3,960,799",20.6%,"$19,686,512","$4,887,869",24.8%,17.5%,4
044735,Salem City,Columbiana," $18,554,189 "," $1,471,192 ",7.93%," $18,504,950 "," $974,835 ",5.27%," $18,921,265 "," $818,377 ",4.33%,"$19,078,934","$1,305,611",6.8%,"$19,053,290","$2,625,242",13.8%,7.6%,4
044743,Sandusky City,Erie," $41,453,054 "," $1,938,027 ",4.68%," $40,424,194 "," $1,277,719 ",3.16%," $41,130,263 "," $2,514,225 ",6.11%,"$42,611,350","$4,424,932",10.4%,"$42,437,596","$7,672,654",18.1%,8.5%,7
044750,Shaker Heights City,Cuyahoga," $86,977,530 "," $23,506,585 ",27.03%," $88,409,869 "," $23,486,173 ",26.57%," $89,826,214 "," $24,073,183 ",26.80%,"$87,435,681","$31,941,176",36.5%,"$89,432,642","$41,205,931",46.1%,32.6%,6
044768,Sheffield-Sheffield Lake City,Lorain," $19,862,081 "," $10,406,684 ",52.39%," $21,105,735 "," $7,518,209 ",35.62%," $20,245,351 "," $5,163,063 ",25.50%,"$19,960,746","$3,510,443",17.6%,"$18,700,073","$4,428,855",23.7%,31.0%,4
044776,Shelby City,Richland," $17,626,878 "," $4,385,894 ",24.88%," $17,646,885 "," $3,619,262 ",20.51%," $17,205,044 "," $4,499,628 ",26.15%,"$17,510,270","$5,949,061",34.0%,"$17,931,211","$7,509,149",41.9%,29.5%,4
044784,Sidney City,Shelby," $30,544,761 "," $9,219,877 ",30.18%," $30,075,382 "," $11,444,982 ",38.05%," $31,246,727 "," $13,800,704 ",44.17%,"$31,913,380","$17,377,304",54.5%,"$33,550,111","$19,740,037",58.8%,45.1%,4
044792,South Euclid-Lyndhurst City,Cuyahoga," $57,597,230 "," $7,491,501 ",13.01%," $54,828,897 "," $12,756,888 ",23.27%," $57,855,460 "," $13,452,333 ",23.25%,"$58,609,748","$14,773,728",25.2%,"$58,872,744","$16,688,801",28.3%,22.6%,5
044800,South-Western City,Franklin," $195,719,310 "," $78,594,046 ",40.16%," $202,533,649 "," $85,507,256 ",42.22%," $207,181,571 "," $99,774,656 ",48.16%,"$234,596,000","$101,997,400",43.5%,"$229,164,681","$134,150,911",58.5%,46.5%,7
044818,Springfield City,Clark," $80,326,952 "," $29,196,373 ",36.35%," $85,300,253 "," $23,461,544 ",27.50%," $82,195,924 "," $29,635,685 ",36.05%,"$90,234,629","$28,740,023",31.9%,"$94,841,638","$28,653,495",30.2%,32.4%,7
044826,Steubenville City,Jefferson," $19,804,911 "," $4,204,457 ",21.23%," $19,817,549 "," $3,295,144 ",16.63%," $21,212,490 "," $3,741,307 ",17.64%,"$20,182,877","$4,867,215",24.1%,"$22,005,859","$5,883,807",26.7%,21.3%,7
044834,Stow-Munroe Falls City School District,Summit," $50,846,118 "," $15,365,641 ",30.22%," $50,746,655 "," $21,456,218 ",42.28%," $53,657,357 "," $25,406,350 ",47.35%,"$56,108,548","$26,829,264",47.8%,"$57,739,282","$26,427,628",45.8%,42.7%,5
044842,Strongsville City,Cuyahoga," $67,427,587 "," $2,535,354 ",3.76%," $69,661,244 "," $3,759,536 ",5.40%," $68,462,786 "," $7,217,478 ",10.54%,"$66,711,344","$12,357,191",18.5%,"$66,873,019","$18,366,730",27.5%,13.1%,5
044859,Struthers City,Mahoning," $17,320,931 "," $6,584,661 ",38.02%," $16,950,367 "," $6,645,525 ",39.21%," $17,624,715 "," $6,993,193 ",39.68%,"$17,987,255","$8,282,973",46.0%,"$18,484,442","$9,303,219",50.3%,42.7%,4
044867,Sycamore Community City,Hamilton," $74,729,015 "," $40,053,246 ",53.60%," $74,222,261 "," $38,145,600 ",51.39%," $74,723,746 "," $36,095,905 ",48.31%,"$76,191,976","$34,306,139",45.0%,"$75,724,381","$33,953,676",44.8%,48.6%,6
044875,Sylvania City,Lucas," $75,851,336 "," $6,935,091 ",9.14%," $78,187,921 "," $6,368,111 ",8.14%," $79,927,162 "," $4,315,235 ",5.40%,"$81,577,349","$4,051,614",5.0%,"$81,422,452","$3,451,461",4.2%,6.4%,5
044883,Tallmadge City,Summit," $25,749,382 "," $4,374,382 ",16.99%," $25,386,124 "," $3,591,060 ",14.15%," $25,357,765 "," $4,631,208 ",18.26%,"$25,453,510","$5,971,217",23.5%,"$26,585,216","$5,886,707",22.1%,19.0%,5
044891,Tiffin City,Seneca," $22,226,117 "," $2,462,385 ",11.08%," $21,551,134 "," $3,182,855 ",14.77%," $22,157,526 "," $5,365,871 ",24.22%,"$23,740,102","$7,436,972",31.3%,"$23,119,412","$11,451,222",49.5%,26.2%,4
044909,Toledo City,Lucas," $330,351,954 "," $15,481,880 ",4.69%," $304,665,243 "," $18,951,665 ",6.22%," $300,597,162 "," $39,080,606 ",13.00%,"$332,357,504","$53,985,783",16.2%,"$363,225,824","$58,421,972",16.1%,11.2%,8
044917,Toronto City,Jefferson," $7,434,027 "," $1,481,362 ",19.93%," $6,884,790 "," $944,199 ",13.71%," $6,599,200 "," $1,269,668 ",19.24%,"$10,389,866","$1,595,327",15.4%,"$7,389,323","$3,013,334",40.8%,21.8%,4
044925,Troy City,Miami," $42,202,668 "," $9,877,152 ",23.40%," $41,625,827 "," $8,509,859 ",20.44%," $41,510,222 "," $9,143,969 ",22.03%,"$42,167,624","$11,031,860",26.2%,"$42,917,991","$13,760,862",32.1%,24.8%,5
044933,Upper Arlington City,Franklin," $77,907,945 "," $35,289,141 ",45.30%," $81,092,748 "," $30,536,362 ",37.66%," $78,197,556 "," $32,754,318 ",41.89%,"$84,333,999","$35,610,706",42.2%,"$82,430,016","$39,456,015",47.9%,43.0%,6
044941,Urbana City,Champaign," $22,973,330 "," $2,421,734 ",10.54%," $21,608,251 "," $2,096,794 ",9.70%," $21,406,951 "," $3,792,312 ",17.72%,"$20,995,568","$6,768,002",32.2%,"$21,861,612","$9,107,264",41.7%,22.4%,4
044958,Vandalia-Butler City,Montgomery," $36,056,723 "," $4,826,233 ",13.39%," $32,314,779 "," $4,335,533 ",13.42%," $30,258,521 "," $9,092,321 ",30.05%,"$31,167,328","$11,673,398",37.5%,"$32,646,898","$13,529,061",41.4%,27.1%,5
044966,Van Wert City,Van Wert," $21,183,012 "," $5,337,303 ",25.20%," $20,935,989 "," $3,796,018 ",18.13%," $21,727,272 "," $2,809,036 ",12.93%,"$22,071,295","$2,883,769",13.1%,"$21,874,214","$3,987,415",18.2%,17.5%,4
044974,Wadsworth City,Medina," $36,801,263 "," $8,271,791 ",22.48%," $39,587,770 "," $7,349,782 ",18.57%," $41,423,115 "," $8,430,201 ",20.35%,"$41,947,185","$11,278,431",26.9%,"$43,257,218","$13,214,414",30.5%,23.8%,5
044982,Wapakoneta City,Auglaize," $24,014,382 "," $2,466,479 ",10.27%," $23,193,879 "," $2,590,560 ",11.17%," $23,033,170 "," $4,675,228 ",20.30%,"$24,094,043","$8,228,549",34.2%,"$24,662,468","$12,420,566",50.4%,25.3%,1
044990,Warren City,Trumbull," $62,658,844 "," $16,442,657 ",26.24%," $61,914,113 "," $13,388,403 ",21.62%," $60,950,670 "," $14,767,954 ",24.23%,"$63,134,178","$19,000,861",30.1%,"$67,054,937","$24,688,256",36.8%,27.8%,7
045005,Warrensville Heights City,Cuyahoga," $30,340,742 "," $10,946,948 ",36.08%," $30,686,860 "," $14,484,866 ",47.20%," $32,772,188 "," $16,709,608 ",50.99%,"$33,199,935","$18,842,809",56.8%,"$33,100,242","$19,871,883",60.0%,50.2%,7
045013,Washington Court House City,Fayette," $17,546,990 "," $590,432 ",3.36%," $17,199,333 "," $648,463 ",3.77%," $17,191,601 "," $1,510,712 ",8.79%,"$19,398,791","$2,225,196",11.5%,"$19,076,910","$3,914,117",20.5%,9.6%,4
045021,Wellston City,Jackson," $14,258,506 "," $6,704,501 ",47.02%," $13,807,940 "," $6,384,233 ",46.24%," $14,642,861 "," $6,037,075 ",41.23%,"$14,401,963","$7,028,044",48.8%,"$15,176,220","$9,367,785",61.7%,49.0%,1
045039,Wellsville Local,Columbiana," $8,153,181 "," $2,070,241 ",25.39%," $8,954,636 "," $1,261,934 ",14.09%," $8,081,478 "," $1,365,531 ",16.90%,"$8,152,853","$1,840,328",22.6%,"$8,551,384","$2,822,798",33.0%,22.4%,4
045047,Westerville City,Franklin," $147,984,087 "," $10,099,862 ",6.82%," $143,179,856 "," $16,960,643 ",11.85%," $137,852,199 "," $41,496,337 ",30.10%,"$145,282,123","$63,954,998",44.0%,"$155,287,547","$80,620,372",51.9%,28.9%,6
045054,West Carrollton City,Montgomery," $38,198,192 "," $15,797,762 ",41.36%," $36,771,293 "," $11,515,400 ",31.32%," $38,480,224 "," $10,612,599 ",27.58%,"$40,536,411","$9,594,631",23.7%,"$43,864,386","$5,849,925",13.3%,27.5%,7
045062,Westlake City,Cuyahoga," $51,000,882 "," $22,169,664 ",43.47%," $51,184,246 "," $19,265,932 ",37.64%," $52,160,169 "," $19,412,603 ",37.22%,"$49,878,926","$19,212,405",38.5%,"$49,414,366","$21,089,048",42.7%,39.9%,6
045070,Whitehall City,Franklin," $30,886,245 "," $15,271,647 ",49.44%," $31,669,865 "," $13,479,243 ",42.56%," $33,207,923 "," $12,291,555 ",37.01%,"$37,082,527","$10,499,523",28.3%,"$36,611,682","$11,132,640",30.4%,37.5%,7
045088,Wickliffe City,Lake," $18,870,850 "," $5,657,871 ",29.98%," $18,588,851 "," $6,015,119 ",32.36%," $18,650,663 "," $4,812,148 ",25.80%,"$20,320,453","$4,420,717",21.8%,"$20,675,421","$5,215,146",25.2%,27.0%,7
045096,Willard City,Huron," $17,194,851 "," $1,508,885 ",8.78%," $16,669,112 "," $572,054 ",3.43%," $16,396,896 "," $786,752 ",4.80%,"$16,242,165","$1,622,700",10.0%,"$16,942,145","$1,735,059",10.2%,7.4%,4
045104,Willoughby-Eastlake City,Lake," $85,448,860 "," $11,632,862 ",13.61%," $95,110,230 "," $5,789,503 ",6.09%," $89,805,712 "," $12,632,540 ",14.07%,"$92,443,566","$14,836,640",16.0%,"$96,920,342","$15,298,230",15.8%,13.1%,5
045112,Wilmington City,Clinton," $24,798,560 "," $3,206,779 ",12.93%," $24,291,631 "," $3,087,658 ",12.71%," $23,939,437 "," $4,275,967 ",17.86%,"$24,410,417","$6,250,741",25.6%,"$26,568,750","$7,855,892",29.6%,19.7%,4
045120,Wooster City,Wayne," $39,884,915 "," $23,247,851 ",58.29%," $39,734,707 "," $25,714,211 ",64.71%," $39,446,285 "," $30,005,210 ",76.07%,"$41,114,392","$34,350,299",83.5%,"$44,997,466","$35,650,103",79.2%,72.4%,4
045138,Worthington City,Franklin," $115,743,870 "," $44,241,474 ",38.22%," $112,195,278 "," $50,295,720 ",44.83%," $112,614,086 "," $62,612,010 ",55.60%,"$120,171,038","$69,619,205",57.9%,"$120,048,952","$81,807,248",68.1%,52.9%,6
045146,Wyoming City,Hamilton," $22,862,555 "," $10,517,456 ",46.00%," $22,637,940 "," $10,132,533 ",44.76%," $22,469,753 "," $10,749,670 ",47.84%,"$24,164,799","$9,605,375",39.7%,"$25,709,328","$7,606,541",29.6%,41.6%,6
045153,Xenia Community City,Greene," $43,763,831 "," $3,102,881 ",7.09%," $40,941,554 "," $6,784,623 ",16.57%," $41,089,692 "," $11,714,059 ",28.51%,"$42,953,146","$16,630,938",38.7%,"$46,865,767","$20,154,829",43.0%,26.8%,4
045161,Youngstown City Schools,Mahoning," $107,858,445 "," $9,382,301 ",8.70%," $106,120,083 "," $9,217,069 ",8.69%," $108,292,346 "," $12,189,752 ",11.26%,"$120,077,659","$11,713,387",9.8%,"$115,028,980","$21,850,091",19.0%,11.5%,7
045179,Zanesville City,Muskingum," $34,441,244 "," $5,859,527 ",17.01%," $35,279,544 "," $4,505,463 ",12.77%," $36,755,034 "," $3,174,118 ",8.64%,"$38,669,532","$3,091,353",8.0%,"$39,938,865","$3,351,956",8.4%,11.0%,7
045187,Ada Exempted Village,Hardin," $7,494,836 "," $1,486,778 ",19.84%," $7,609,035 "," $1,108,614 ",14.57%," $7,553,666 "," $1,511,785 ",20.01%,"$7,824,647","$2,371,573",30.3%,"$8,307,336","$3,758,574",45.2%,26.0%,3
045195,Amherst Exempted Village,Lorain," $34,430,793 "," $6,998,180 ",20.33%," $35,200,048 "," $7,333,064 ",20.83%," $35,886,119 "," $9,386,107 ",26.16%,"$36,721,346","$11,899,673",32.4%,"$35,634,257","$14,615,254",41.0%,28.1%,5
045203,Barnesville Exempted Village,Belmont," $10,205,633 "," $3,355,048 ",32.87%," $10,338,884 "," $4,087,942 ",39.54%," $10,625,736 "," $4,479,678 ",42.16%,"$11,264,519","$4,937,540",43.8%,"$12,167,997","$5,983,424",49.2%,41.5%,1
045211,Bluffton Exempted Village,Allen," $8,247,314 "," $2,252,193 ",27.31%," $7,954,608 "," $2,344,049 ",29.47%," $8,113,952 "," $2,557,913 ",31.52%,"$8,320,036","$2,718,375",32.7%,"$8,661,802","$3,636,366",42.0%,32.6%,3
045229,Bradford Exempted Village,Miami," $5,770,569 "," $3,299,577 ",57.18%," $5,615,395 "," $3,288,608 ",58.56%," $5,594,908 "," $3,447,640 ",61.62%,"$5,653,070","$3,990,743",70.6%,"$6,195,295","$4,496,700",72.6%,64.1%,1
045237,Bridgeport Exempted Village,Belmont," $6,792,713 "," $1,170,867 ",17.24%," $6,795,473 "," $1,274,111 ",18.75%," $7,177,490 "," $1,650,264 ",22.99%,"$7,591,917","$1,719,261",22.6%,"$7,567,840","$2,561,440",33.8%,23.1%,4
045245,Harrison Hills City,Harrison," $15,921,999 "," $4,250,170 ",26.69%," $16,201,561 "," $5,435,760 ",33.55%," $16,151,223 "," $6,479,536 ",40.12%,"$16,274,054","$9,286,503",57.1%,"$16,111,545","$15,557,902",96.6%,50.8%,1
045252,Caldwell Exempted Village,Noble," $7,444,257 "," $907,032 ",12.18%," $7,513,465 "," $791,271 ",10.53%," $7,673,107 "," $1,446,741 ",18.85%,"$8,466,470","$2,222,297",26.2%,"$8,366,840","$3,543,199",42.3%,22.0%,1
045260,Carey Exempted Village,Wyandot," $8,007,298 "," $5,809,416 ",72.55%," $8,342,144 "," $5,454,232 ",65.38%," $8,676,533 "," $5,238,381 ",60.37%,"$8,600,388","$5,760,607",67.0%,"$10,051,393","$5,606,627",55.8%,64.2%,1
045278,Carrollton Exempted Village,Carroll," $20,937,591 "," $5,095,562 ",24.34%," $20,689,165 "," $4,685,378 ",22.65%," $21,867,333 "," $4,335,066 ",19.82%,"$23,479,226","$6,720,087",28.6%,"$22,360,583","$7,621,449",34.1%,25.9%,1
045286,Chagrin Falls Exempted Village,Cuyahoga," $23,770,730 "," $6,853,881 ",28.83%," $24,422,065 "," $7,581,879 ",31.05%," $26,227,936 "," $8,976,264 ",34.22%,"$26,573,806","$10,265,673",38.6%,"$26,905,602","$12,129,023",45.1%,35.6%,6
045294,Chesapeake Union Exempted Village,Lawrence," $12,012,610 "," $1,737,125 ",14.46%," $11,752,888 "," $1,772,990 ",15.09%," $11,548,063 "," $1,941,780 ",16.81%,"$11,914,924","$2,555,514",21.4%,"$11,999,921","$3,219,971",26.8%,18.9%,2
045302,Clyde-Green Springs Exempted Village,Sandusky," $20,454,098 "," $2,616,056 ",12.79%," $19,974,135 "," $2,844,387 ",14.24%," $20,615,820 "," $3,808,500 ",18.47%,"$21,810,333","$4,926,972",22.6%,"$22,590,939","$6,202,506",27.5%,19.1%,4
045310,Coldwater Exempted Village,Mercer," $12,355,752 "," $2,996,469 ",24.25%," $12,216,397 "," $3,024,856 ",24.76%," $12,320,380 "," $3,872,663 ",31.43%,"$12,893,248","$4,424,892",34.3%,"$12,621,666","$5,376,825",42.6%,31.5%,3
045328,Columbiana Exempted Village,Columbiana," $8,870,389 "," $2,172,408 ",24.49%," $8,759,231 "," $2,611,290 ",29.81%," $8,563,128 "," $3,476,127 ",40.59%,"$9,853,538","$3,248,560",33.0%,"$9,707,876","$3,518,487",36.2%,32.8%,4
045336,Covington Exempted Village,Miami," $7,504,599 "," $1,198,764 ",15.97%," $7,113,176 "," $1,665,861 ",23.42%," $7,605,694 "," $2,000,739 ",26.31%,"$8,930,876","$1,734,224",19.4%,"$9,046,758","$1,942,286",21.5%,21.3%,3
045344,Crestline Exempted Village,Crawford," $6,841,775 "," $2,605,017 ",38.08%," $7,598,695 "," $2,236,903 ",29.44%," $8,073,757 "," $1,626,789 ",20.15%,"$8,012,619","$1,423,303",17.8%,"$7,965,893","$2,638,967",33.1%,27.7%,1
045351,Crooksville Exempted Village,Perry," $10,209,558 "," $649,004 ",6.36%," $9,817,531 "," $598,474 ",6.10%," $9,954,289 "," $835,694 ",8.40%,"$10,597,110","$1,486,365",14.0%,"$10,872,334","$2,850,375",26.2%,12.2%,1
045369,Fairport Harbor Exempted Village,Lake," $5,462,632 "," $185,360 ",3.39%," $4,829,081 "," $666,215 ",13.80%," $5,276,057 "," $884,835 ",16.77%,"$5,700,618","$1,169,504",20.5%,"$6,621,090","$1,407,382",21.3%,15.1%,4
045377,Georgetown Exempted Village,Brown," $8,018,416 "," $1,010,624 ",12.60%," $7,787,106 "," $1,138,167 ",14.62%," $7,931,526 "," $1,485,428 ",18.73%,"$8,189,712","$2,087,950",25.5%,"$8,760,189","$2,993,502",34.2%,21.1%,1
045385,Gibsonburg Exempted Village,Sandusky," $8,816,652 "," $1,902,417 ",21.58%," $9,170,112 "," $1,060,658 ",11.57%," $9,328,817 "," $294,873 ",3.16%,"$9,171,268","$83,021",0.9%,"$9,721,203","$74,734",0.8%,7.6%,2
045393,Granville Exempted Village,Licking," $24,608,926 "," $1,983,624 ",8.06%," $22,991,247 "," $1,576,821 ",6.86%," $23,899,300 "," $2,740,295 ",11.47%,"$24,961,112","$4,459,793",17.9%,"$26,574,613","$5,024,009",18.9%,12.6%,6
045401,Greenfield Exempted Village,Highland," $20,853,335 "," $5,520,744 ",26.47%," $23,832,840 "," $5,931,946 ",24.89%," $20,550,486 "," $6,629,165 ",32.26%,"$25,346,315","$7,238,105",28.6%,"$26,305,580","$7,419,576",28.2%,28.1%,1
045419,Hicksville Exempted Village,Defiance," $8,223,392 "," $4,597,942 ",55.91%," $7,893,229 "," $4,547,753 ",57.62%," $8,364,629 "," $4,668,279 ",55.81%,"$8,835,780","$5,268,027",59.6%,"$11,966,360","$3,091,262",25.8%,51.0%,1
045427,Hubbard Exempted Village,Trumbull," $18,303,413 "," $4,592,805 ",25.09%," $18,711,908 "," $3,167,271 ",16.93%," $19,422,785 "," $2,801,764 ",14.43%,"$18,564,444","$2,139,249",11.5%,-,-,-,17.0%,4
045435,Indian Hill Exempted Village,Hamilton," $30,059,090 "," $29,255,100 ",97.33%," $30,197,617 "," $30,686,471 ",101.62%," $29,929,230 "," $32,400,757 ",108.26%,"$37,582,347","$26,959,128",71.7%,"$39,129,547","$21,047,533",53.8%,86.5%,6
045443,Leetonia Exempted Village,Columbiana," $7,097,605 "," $316,043 ",4.45%," $6,981,552 "," $987,758 ",14.15%," $6,986,566 "," $1,734,872 ",24.83%,"$7,052,368","$2,610,621",37.0%,"$7,205,001","$3,721,817",51.7%,26.4%,1
045450,Lisbon Exempted Village,Columbiana," $8,814,240 "," $3,668,605 ",41.62%," $8,389,230 "," $3,364,551 ",40.11%," $8,621,025 "," $3,006,041 ",34.87%,"$8,680,776","$2,550,074",29.4%,"$8,445,958","$2,703,052",32.0%,35.6%,1
045468,Loudonville-Perrysville Exempted Village,Ashland," $12,398,621 "," $2,869,441 ",23.14%," $12,387,477 "," $2,328,897 ",18.80%," $12,387,099 "," $2,474,454 ",19.98%,"$12,591,971","$3,237,904",25.7%,"$12,483,207","$4,310,291",34.5%,24.4%,1
045476,Marysville Exempted Village,Union," $47,990,206 "," $3,070,349 ",6.40%," $46,607,118 "," $2,825,413 ",6.06%," $46,173,782 "," $3,921,432 ",8.49%,"$45,752,468","$7,594,549",16.6%,"$45,641,217","$13,552,901",29.7%,13.4%,5
045484,Mechanicsburg Exempted Village,Champaign," $9,946,507 "," $122,309 ",1.23%," $8,923,868 "," $117,134 ",1.31%," $7,855,051 "," $1,297,055 ",16.51%,"$8,152,488","$2,717,921",33.3%,"$8,441,013","$4,425,629",52.4%,21.0%,2
045492,Mentor Exempted Village,Lake," $96,150,016 "," $57,517,782 ",59.82%," $96,235,920 "," $55,453,912 ",57.62%," $98,524,380 "," $52,449,340 ",53.23%,"$98,576,401","$50,723,515",51.5%,"$93,996,449","$56,110,989",59.7%,56.4%,5
045500,Milford Exempted Village,Clermont," $56,023,960 "," $14,425,455 ",25.75%," $56,430,064 "," $14,972,636 ",26.53%," $58,408,950 "," $17,436,347 ",29.85%,"$63,102,406","$21,207,350",33.6%,"$61,794,801","$27,714,596",44.8%,32.1%,5
045518,Milton-Union Exempted Village,Miami," $13,971,273 "," $4,807,544 ",34.41%," $12,636,197 "," $5,337,034 ",42.24%," $12,600,919 "," $6,436,091 ",51.08%,"$12,874,555","$6,829,875",53.0%,"$13,231,571","$7,201,277",54.4%,47.0%,2
045526,Montpelier Exempted Village,Williams," $9,189,512 "," $337,294 ",3.67%," $8,220,570 "," $569,800 ",6.93%," $8,513,184 "," $1,439,725 ",16.91%,"$8,789,121","$2,899,824",33.0%,"$9,320,808","$5,049,952",54.2%,22.9%,1
045534,Mount Gilead Exempted Village,Morrow," $11,513,038 "," $3,098,350 ",26.91%," $11,306,396 "," $2,947,713 ",26.07%," $12,011,084 "," $2,799,113 ",23.30%,"$12,988,689","$2,515,133",19.4%,"$12,925,706","$3,375,900",26.1%,24.4%,3
